t,stim,y0,y1,y2,y3
30.443208249999998,-0.48,0,0,0,0
30.451548855,0.48,0,0,0,0
30.459889459999996,0.48,0,0,0,0
30.468230064999997,0.48,0,0,1,0
30.476570669999997,0.48,0,0,1,1
30.484911274999998,-0.48,0,0,1,1
30.493251879999995,-0.48,0,0,1,1
30.501592484999996,0.48,0,0,1,0
30.509933089999997,-0.48,0,0,0,0
30.518273694999998,0.48,0,0,0,0
30.5266143,0.48,0,0,0,0
30.534954904999996,0.48,0,0,0,0
30.543295509999997,0.48,0,0,0,1
30.551636114999997,0.48,0,0,1,1
30.559976719999998,-0.48,0,0,1,1
30.568317324999995,0.48,0,0,1,1
30.576657929999996,0.48,0,0,0,0
30.584998534999997,-0.48,0,0,0,0
30.593339139999998,-0.48,0,0,0,0
30.601679745,-0.48,0,0,0,0
30.610020349999996,-0.48,1,1,0,0
30.618360954999996,-0.48,0,0,0,0
30.626701559999997,0.48,1,0,0,0
30.635042164999998,-0.48,1,1,0,0
30.64338277,-0.48,0,0,0,0
30.651723374999996,-0.48,0,0,0,0
30.660063979999997,0.48,1,1,0,0
30.668404584999998,0.48,0,0,0,0
30.67674519,-0.48,0,0,0,0
30.685085794999996,-0.48,0,0,0,0
30.693426399999996,-0.48,0,0,1,1
30.701767004999997,-0.48,0,0,0,1
30.710107609999998,-0.48,1,0,1,0
30.718448215,-0.48,1,0,0,0
30.726788819999996,-0.48,1,1,0,0
30.735129424999997,-0.48,0,0,0,0
30.743470029999997,0.48,1,1,0,0
30.751810635,0.48,0,0,0,0
30.760151239999995,-0.48,0,0,0,0
30.768491844999996,0.48,0,0,0,0
30.776832449999997,-0.48,0,0,1,1
30.785173054999998,-0.48,0,0,1,1
30.79351366,-0.48,0,0,1,1
30.801854264999996,-0.48,0,0,0,0
30.810194869999997,0.48,1,1,0,0
30.818535474999997,-0.48,1,0,0,0
30.826876079999998,-0.48,0,0,0,0
30.835216684999995,0.48,0,0,0,0
30.843557289999996,-0.48,0,0,0,0
30.851897894999997,-0.48,0,0,0,0
30.860238499999998,0.48,0,0,0,0
30.868579105,0.48,0,0,0,0
30.876919709999996,0.48,0,0,0,0
30.885260314999996,0.48,0,0,0,0
30.893600919999997,0.48,0,0,1,1
30.901941524999998,-0.48,0,0,1,1
30.91028213,0.48,0,0,1,1
30.918622734999996,0.48,0,0,0,0
30.926963339999997,-0.48,0,0,0,0
30.935303944999998,0.48,0,0,0,0
30.94364455,0.48,0,0,0,0
30.951985154999996,0.48,0,0,0,0
30.960325759999996,-0.48,0,0,0,0
30.968666364999997,0.48,0,0,0,1
30.977006969999998,-0.48,0,0,1,1
30.985347575,-0.48,0,0,1,1
30.993688179999996,-0.48,1,0,0,0
31.002028784999997,-0.48,1,1,0,0
31.010369389999997,-0.48,1,1,0,0
31.018709995,0.48,0,0,0,0
31.027050599999995,0.48,1,0,0,0
31.035391204999996,0.48,1,0,0,0
31.043731809999997,0.48,0,0,0,0
31.052072414999998,-0.48,0,0,1,1
31.06041302,0.48,0,0,1,1
31.068753624999996,0.48,0,0,1,1
31.077094229999997,0.48,0,0,1,0
31.085434834999997,-0.48,0,0,0,0
31.093775439999998,0.48,0,0,1,0
31.102116044999995,0.48,0,0,1,1
31.110456649999996,-0.48,0,0,0,0
31.118797254999997,0.48,0,0,0,0
31.127137859999998,0.48,0,0,0,0
31.135478465,-0.48,0,0,0,0
31.143819069999996,-0.48,0,0,0,0
31.152159674999996,-0.48,0,0,0,0
31.160500279999997,-0.48,1,1,0,0
31.168840884999998,-0.48,1,0,0,0
31.177181489999995,0.48,0,0,0,0
31.185522094999996,0.48,1,1,0,0
31.193862699999997,0.48,0,0,0,0
31.202203304999998,0.48,0,0,0,0
31.21054391,-0.48,0,0,1,1
31.218884514999996,0.48,0,0,1,1
31.227225119999996,-0.48,0,0,1,1
31.235565724999997,-0.48,0,0,0,1
31.243906329999998,-0.48,0,0,0,0
31.252246935,0.48,0,1,0,0
31.260587539999996,0.48,1,0,0,0
31.268928144999997,0.48,0,0,0,0
31.277268749999998,-0.48,0,0,0,0
31.285609355,0.48,0,0,0,1
31.293949959999996,0.48,0,0,1,1
31.302290564999996,0.48,0,0,0,0
31.310631169999997,0.48,0,0,0,0
31.318971774999998,-0.48,0,0,1,0
31.32731238,-0.48,0,0,1,1
31.335652984999996,-0.48,0,0,1,1
31.343993589999997,0.48,1,1,0,0
31.352334194999997,-0.48,1,0,0,0
31.360674799999998,0.48,0,0,0,0
31.369015404999995,-0.48,1,0,0,0
31.377356009999996,0.48,0,0,0,0
31.385696614999997,0.48,0,0,0,0
31.394037219999998,-0.48,0,0,0,0
31.402377825,0.48,0,0,0,0
31.410718429999996,0.48,0,0,1,1
31.419059034999997,-0.48,0,0,1,0
31.427399639999997,0.48,0,0,0,0
31.435740244999998,-0.48,0,0,0,0
31.444080849999995,0.48,0,0,0,0
31.452421454999996,0.48,0,0,0,0
31.460762059999997,-0.48,0,0,0,0
31.469102664999998,0.48,0,0,0,0
31.47744327,-0.48,0,0,0,0
31.485783874999996,-0.48,0,0,0,0
31.494124479999996,-0.48,0,0,0,0
31.502465084999997,0.48,1,1,0,0
31.510805689999998,0.48,1,0,0,0
31.519146294999995,-0.48,0,0,0,0
31.527486899999996,0.48,0,0,0,0
31.535827504999997,-0.48,0,0,0,1
31.544168109999998,0.48,0,0,0,0
31.552508715,0.48,0,0,0,0
31.560849319999996,0.48,0,0,0,0
31.569189924999996,-0.48,0,0,0,0
31.577530529999997,0.48,0,0,1,1
31.585871134999998,0.48,0,0,1,1
31.59421174,0.48,0,0,0,0
31.602552344999996,-0.48,0,0,0,0
31.610892949999997,-0.48,0,0,0,1
